Date,company_name,Amount,Exchange,Segment,scrip_code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,side,quantity,price,yahoo_ticker,yahoo_stock_name
2022-10-28 00:00:00,SAMRAT PHARM(BSE INDONEXT),22377.6,BSE,EQ,530125,Equity,,,3621700,11:02:24,Sell,24,932.4,SAMRATPH.BO,
2022-10-28 00:00:00,BHARAT ELECT,45092.5,NSE,EQ,500049,Equity,,,1229941,10:29:23,Sell,425,106.1,BEL.NS,
2022-10-28 00:00:00,GUJ NARMADA,29811.6,NSE,EQ,500670,Equity,,,26032296,10:13:50,Sell,42,709.8,GNFC.NS,
2022-10-28 00:00:00,GUJ NARMADA,2129.4,NSE,EQ,500670,Equity,,,26032297,10:13:50,Sell,3,709.8,GNFC.NS,
2022-10-28 00:00:00,TRIVENI ENGI,13627.2,NSE,EQ,532356,Equity,,,77806183,12:38:03,Buy,51,267.2,TRIVENI.NS,
2022-10-28 00:00:00,TRIVENI ENGI,1068.8,NSE,EQ,532356,Equity,,,77806184,12:38:03,Buy,4,267.2,TRIVENI.NS,
2022-10-28 00:00:00,TRIVENI ENGI,5345,NSE,EQ,532356,Equity,,,77806185,12:38:03,Buy,20,267.25,TRIVENI.NS,
2022-10-28 00:00:00,TRIVENI ENGI,4810.5,NSE,EQ,532356,Equity,,,77806186,12:38:03,Buy,18,267.25,TRIVENI.NS,
2022-10-28 00:00:00,TRIVENI ENGI,267.35,NSE,EQ,532356,Equity,,,77806187,12:38:03,Buy,1,267.35,TRIVENI.NS,
2022-10-28 00:00:00,TRIVENI ENGI,6685,NSE,EQ,532356,Equity,,,77806188,12:38:03,Buy,25,267.4,TRIVENI.NS,
2022-10-28 00:00:00,TRIVENI ENGI,267.4,NSE,EQ,532356,Equity,,,77806189,12:38:03,Buy,1,267.4,TRIVENI.NS,
2022-10-28 00:00:00,GRANULES INDIA LTD.,36390,NSE,EQ,532482,Equity,,,26064076,10:16:43,Buy,100,363.9,GRANULES.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,21186.1,NSE,EQ,542920,Equity,,,77472241,12:05:54,Sell,43,492.7,SUMICHEM.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,3941.2,NSE,EQ,542920,Equity,,,77472242,12:05:54,Sell,8,492.65,SUMICHEM.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,12315,NSE,EQ,542920,Equity,,,77472243,12:05:54,Sell,25,492.6,SUMICHEM.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,4926,NSE,EQ,542920,Equity,,,77472244,12:05:54,Sell,10,492.6,SUMICHEM.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,24630,NSE,EQ,542920,Equity,,,77472245,12:05:54,Sell,50,492.6,SUMICHEM.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,4926,NSE,EQ,542920,Equity,,,77472246,12:05:54,Sell,10,492.6,SUMICHEM.NS,
2022-10-28 00:00:00,SUMITOMO CHEMICAL INDIA LIMITE,1970.2,NSE,EQ,542920,Equity,,,77472247,12:05:54,Sell,4,492.55,SUMICHEM.NS,
2022-10-28 00:00:00,KARUR VYSYA BANK LTD.,1858.2,NSE,EQ,590003,Equity,,,51054456,10:10:57,Buy,19,97.8,KARURVYSYA.NS,
